,,,,,,,,Events use case data from Prod ,,,Event Type data from Prod ,,,,,,,,"Account Details (Sales Model, Target Customers and departments)",,,ICP count data from Clay,,,,Hiring Signals from Clay,,,"ICP users from Prod by different event types
(Event personas only)",,,,ICP contacts not in prod,,,
001J300000B6KVHIA3,Carbyne,https://carbyne.com/,Bhargav Prasad,Mid-Market,17192,1,,Not found at Prod level,Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Not found at Prod level,Red,"Police,First Responders/Emergency Services,Emergency Communications/911 (dispatch/call takers),Operations",Sales-led,"Emergency Communication Centers/911,Public Safety Agencies,Police Departments,Government/Municipalities,Mission‑critical Contact Centers",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
001J300000BVzMJIA1,ContactMonkey,contactmonkey.com,Bhargav Prasad,Commercial,7100,1,Custom / Self-Hosted,,Tier 2 and 3 Conferences,Conferences,0,0,0,0,0,1,1,Red,"Internal Communications,Communications / PR,HR,IT,Employee Engagement",Sales-led,"SMBs,Mid-market,Enterprise,Deskless workforce",1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
001J300000DCsrVIAT,Koto,koto.com,Bhargav Prasad,Mid-Market,6700,1,,Webinar; Virtual Conferences,,,0,0,4,0,0,6,6,Red,"Product,Marketing,Brand,Design,Communications,HR",Sales-led,"Enterprise,Founders,Brands,Tech,Marketplaces,Wearables,Travel,Gaming",0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
001J300000HN5RJIA1,Cin7,cin7.com,Brooks Marsi,Mid-Market,31750,1,Eventbrite,Field Events; Webinar; In-person Conferences,Flagship; Tier 2 and 3 Conferences; Field Events; Webinars,Webinar,2,0,8,2,0,0,2,Yellow,"Operations,Sales,Finance,Manufacturing,Supply Chain",Hybrid,"Start-Ups,Scaling Up,Enterprises,Food & Beverage,Fashion & Apparel,Health & Beauty,Manufacturing,Retail & E-commerce,Sporting Goods,Wholesale & Distribution",0,2,1,0,0,0,0,0,3,0,0,0,1,1,0
001J300000HN5SkIAL,Osano,osano.com,Brooks Marsi,Commercial,29700,1,Goldcast,Field Events; Third-Party Events; Webinar; In-person Conferences; Virtual Conferences,Tier 2 and 3 Conferences; Webinars; Third-Party Events,Webinar,2,16,8,8,0,10,18,Green,"Legal & Compliance,GRC,Risk,Security,Marketing",Hybrid,"Start-Up,Mid-sized,Enterprise,Tech & SaaS,Healthcare,Finance,Retail & Ecommerce",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001J300000HN9CnIAL,Arize AI,arize.com,Bhargav Prasad,Commercial,13650,1,Unknown,In-person Conferences,Flagship; Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,0,3,0,0,3,Red,"AI/AI Engineering,Machine Learning / ML Engineering,Data Science,MLOps,Engineering",Hybrid,"Individuals,Startups,Small teams,Enterprise,Travel,Insurance,Retail,Consumer Goods,Industrial/Manufacturing,Education",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
001J300000IM61aIAD,Olo,olo.com,Bhargav Prasad,Mid-Market,14500,1,Custom / Self-Hosted,Webinar; In-person Conferences; Virtual Conferences,Flagship; Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,11,2,0,7,9,Yellow,"IT/Technology,Marketing,Operations,Data/Analytics,Product",Sales-led,"Restaurant brands,Enterprise restaurant chains,Hospitality brands",1,0,5,0,1,0,0,3,6,0,0,1,2,0,0
001J300000INCqJIAX,Digitech Computer LLC,digitechcomputer.com,Bhargav Prasad,Mid-Market,31325,1,Unknown,Webinar; Virtual Conferences,Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,9,0,0,2,2,Green,"Billing,Finance,Operations,Executive Leadership",Sales-led,"Municipalities,Hospitals,Private ambulance services,EMS agencies/ambulance transport",0,0,2,0,0,0,0,0,2,0,0,0,2,0,0
001J300000IOJQGIA5,Smartly.io,smartly.io,Brooks Marsi,Mid-Market,31750,0,Custom / Self-Hosted,In-person Conferences,Flagship; Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,0,11,0,0,11,Yellow,"Creative,Performance,Brand,Agency,Marketing,Media",Sales-led,"Enterprise,Agencies,Travel,CPG,Financial Services,Media & Entertainment,Telecom,Automotive",5,2,2,0,0,3,1,2,0,0,0,3,2,1,0
001J300000KBMSuIAP,Absolute Security,absolute.com,Bhargav Prasad,Enterprise,16000,1,,In-person Conferences; Hybrid Conferences,Field Events; Third-Party Events,Field Events; Third-Party Events,0,0,0,15,6,0,21,Green,CISO,Sales-led,"Enterprise,Education,Finance,Government,Healthcare,Legal,Professional Services,Public Safety,Transportation,Utilities",1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
001J300000KBNZ9IAP,70 Faces Media,70facesmedia.org,Brooks Marsi,Association,18000,1,RingCentral Events,Virtual Conferences,Flagship; Field Events,Field Events,0,0,0,1,1,8,10,Yellow,,Sales-led,"Jewish community,Readers,Advertisers,Partners,Donors/Funders",0,0,2,0,0,0,0,0,0,0,0,0,2,0,0
001J300000L4bi4IAB,Aera Technology,aeratechnology.com,Brooks Marsi,Mid-Market,24000,1,Custom / Self-Hosted,Hybrid Conferences,Tier 2 and 3 Conferences; Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,1,1,2,0,3,Red,"Supply Chain,Finance,Sales,Marketing,HR,IT,Procurement,Operations",Sales-led,"Enterprise,CPG,Food & Beverage,Life Sciences,Manufacturing,Technology,Petrochemical,Chemicals,Higher Education,FMCG",1,1,3,0,1,0,2,1,0,0,0,0,1,1,0
001fu000005eC1pAAE,Ava Labs,avalabs.org,Brooks Marsi,Mid-Market,47000,1,Custom / Self-Hosted (side events via Luma),In-person Conferences,Flagship; Field Events; Third-Party Events,Field Events; Third-Party Events,0,0,0,5,0,0,5,Red,"Engineering,Security",Hybrid,"Enterprise,Institutional Finance,Government,Gaming,Consumer,Developers/Builders",1,1,3,0,0,0,0,1,0,0,0,0,3,1,0
001fu0000088sJrAAI,Mistral AI,mistral.ai,Bhargav Prasad,Mid-Market,30937,1,,Field Events; In-person Conferences,Tier 2 and 3 Conferences; Field Events; Third-Party Events,Third-Party Events,18,0,0,8,0,0,8,Green,"Engineering,Data,IT/Security,Customer Experience/Support,Marketing,Operations,HR/Recruiting,Research/R&D",Hybrid,"Individuals,Teams,Enterprise,Technology and Software,Financial services,Transportation and Logistics,Manufacturing,Public sector,Retail and Consumer goods,Healthcare and Life sciences,Energy,Education and Science",1,1,2,0,2,1,3,1,0,3,0,1,1,0,0
001fu00000HwJoWAAV,Sea-Bird Scientific,seabird.com,Bhargav Prasad,Commercial,13500,1,,Field Events; Third-Party Events; In-person Conferences; Hybrid Conferences; Virtual Conferences,Webinars; Third-Party Events,Webinar,2,4,1,4,2,5,11,Green,"Scientists,Researchers,Technicians,Engineers",Sales-led,"Renewable Energy,Aquaculture & Fisheries,Oil & Gas,Water Quality Monitoring,Freshwater,Oceanographic Research,Coral Reef Monitoring,Carbon Research,Nutrient Monitoring,Harmful Algal Blooms,Weather Monitoring,Dredge Monitoring,Open Ocean Research",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
001fu00000IUsoDAAT,Remerge,remerge.io,Brooks Marsi,Commercial,15000,1,,Field Events,Field Events; Third-Party Events,Third-Party Events,13,0,0,0,0,0,0,Green,"Marketing,Data,Engineering",Sales-led,"Gaming,E-commerce,Delivery",0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
001fu00000IVcNhAAL,Neostella,neostella.com,Brooks Marsi,Mid-Market,35000,0,Custom / Self-Hosted,In-person Conferences,Flagship; Third-Party Events,Third-Party Events,0,0,0,3,0,0,3,Yellow,"Legal,Legal Operations,Operations,IT",Sales-led,"Enterprise,Law firms,In-house legal teams,Personal injury,Mass tort,Veterans affairs,Social security,Immigration,Family law",1,1,1,1,1,0,0,2,0,0,0,0,0,0,0
001fu00000IW06JAAT,EliseAI,eliseai.com,Brooks Marsi,Mid-Market,20000,1,Custom / Self-Hosted,Field Events; Third-Party Events; In-person Conferences,Field Events; Webinars; Third-Party Events,Webinar,39,3,0,2,0,0,2,Green,"Leasing,Maintenance,Operations,Sales,Marketing,Customer Experience,Care",Sales-led,"Property Management,Affordable Housing,Healthcare,Enterprise",1,1,1,0,0,2,0,0,0,4,4,0,1,0,0
001fu00000LLKhjAAH,Eptura,eptura.com,Bhargav Prasad,Mid-Market,18500,0,,Webinar,Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,29,0,0,1,1,Yellow,"Facilities,Asset Management,Real Estate,Space Planning,Workplace Services,Security,Front Desk,HR,Technology,Operations,Executive Management",Sales-led,"Enterprise,Business Services,Education,Energy & Transportation,Government,Healthcare,Manufacturing,Software & Tech",0,0,2,0,0,0,0,0,2,0,0,0,2,0,0
001fu00000LgTDOAA3,Benchmark International,benchmarkintl.com,Brooks Marsi,Mid-Market,10000,1,,Webinar,Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,2,0,0,0,0,Yellow,"Business Owners,Founders,CEOs,Management,Shareholders,Financial Buyers / Investors,Private Investors / High Net Worth Individuals",Sales-led,"Owner-operated businesses,Family-owned businesses,Founder-owned businesses,Small to mid-size businesses,Consumer,Food & Retail,Business Products and Services,Industrial,Energy, Resources & Utilities,Technology,Construction,Transportation",2,2,4,2,0,0,0,0,0,0,0,1,3,1,1
001fu00000MYW7FAAX,Spearhead Marketing Group,spearheadmarketing.com,Bhargav Prasad,Event Agency,17000,1,,,,,0,0,0,1,0,0,1,Yellow,"Marketing,PR,Advertising,Media",Sales-led,"SMBs,Mid-market,Enterprise,Consumer brands,Retail,Pharmaceuticals,Sports,Financial services,Media companies,PR agencies,Advertising firms",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001fu00000NLtYxAAL,Duel Tech,duel.tech,Bhargav Prasad,Commercial,12000,1,Unknown,Field Events; Webinar; In-person Conferences; Virtual Conferences,Flagship; Third-Party Events,Third-Party Events,4,0,4,2,0,5,7,Green,,Sales-led,"Consumer brands,Enterprise,eCommerce",0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
001fu00000SzDJbAAN,Profound,tryprofound.com,Bhargav Prasad,Commercial,15000,0,Not an Event,No Events data found,Flagship; Third-Party Events,Conferences; Third-Party Events,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Not found at prod level or threshold event count very less,Yellow,Marketing,Sales-led,Brands,0,0,1,0,0,2,3,0,0,0,0,0,1,0,0
001J300000ILnnnIAD,Case Status (casestatus.com),casestatus.com,Bhargav Prasad,Commercial,13160,1,,Webinar; In-person Conferences,Flagship; Webinars; Third-Party Events,Webinar; Third-Party Events,1,1,2,5,0,0,5,Red,"Operations,IT,Business Development,Attorneys,Case Management",Sales-led,"Law firms,Social Security Disability (SSDI),Family law,Employment law,Personal injury",0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
0015i00000kfCrRAAU,jump.global Events LLC,jump.global,Brooks Marsi,Commercial,9500,1,Unknown,In-person Conferences; Hybrid Conferences; Virtual Conferences,Flagship,,0,0,1,43,5,7,55,Green,,Hybrid,"Music professionals,Music companies and organizations,Students",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0015i000011yAhpAAE,Playable,https://playable.com/,Bhargav Prasad,Commercial,8350,1,,Webinar,Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,33,0,0,0,0,Red,Marketing,Hybrid,"Enterprise,Retail,FMCG,Sports,Travel,B2B,Financial services,Hospitality,B2C,Not-for-profit",1,1,1,1,0,0,0,0,2,0,0,0,0,0,0
0015i000013K7FoAAK,Privado.ai,privado.ai,Bhargav Prasad,Mid-Market,9500,1,Unknown,Virtual Conferences,Flagship; Field Events; Webinars,Field Events; Webinar,0,0,1,0,0,6,6,Yellow,"Privacy,Legal,Engineering,Product,Security,Compliance",Hybrid,"SMBs,Mid-market,Enterprise,Gaming,Toys",0,0,1,0,0,0,0,2,0,0,0,0,1,0,0
0015i00000RprrVAAR,VWO (Wingify),vwo.com,Bhargav Prasad,Mid-Market,8634,1,Custom / Self-Hosted,Webinar; Virtual Conferences,Flagship; Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,161,0,0,2,2,Green,"Product,Engineering,Data,Marketing,Growth,UX,Analytics",Hybrid,"SMBs,Mid-market,Enterprise,Agency,Consulting,eCommerce,eLearning,Finance,Gaming & Sports,Health,Manufacturing,Media and Entertainment,Mobile & Telecom,Non-profit",0,0,5,0,0,0,0,0,2,0,0,0,4,0,0
0015i00000UgUBzAAN,Storyblok,storyblok.com,Bhargav Prasad,Mid-Market,9000,1,,Webinar,Flagship; Field Events; Webinars; Third-Party Events,Conferences; Field Events; Webinar; Third-Party Events,0,0,143,0,0,0,0,Green,"Developers,Marketers,Editors",Hybrid,"Startups,Businesses,Enterprises,Digital commerce",1,4,2,1,0,0,1,0,7,0,0,1,1,4,1
0015i00000r9VypAAE,Healthcare Research Worldwide,hrwhealthcare.com,Bhargav Prasad,Commercial,3700,1,,Virtual Conferences,Third-Party Events,Third-Party Events,0,0,0,0,0,9,9,Red,"Marketing,Communications,Product,Sales",Sales-led,"Pharmaceuticals,Medical devices,Diagnostics,Healthcare,Enterprise",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0
0015i00000xSpL5AAK,Triumph Motorcycles,triumphmotorcycles.com,Bhargav Prasad,NA,6625,1,,Virtual Conferences,Field Events; Third-Party Events,Field Events; Third-Party Events,0,0,1,0,1,71,72,Yellow,"Customer Service / Aftersales,Engineering",Sales-led,"Individual riders / consumers,Motorcycle dealers / dealerships",4,0,0,0,0,1,0,5,0,0,0,4,0,0,0
0015i0000106uCGAAY,ProMobi Technologies Pvt Ltd,promobitech.com,Bhargav Prasad,Mid-Market,5150,1,,Webinar; Virtual Conferences,Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,112,0,0,2,2,Green,,,"Enterprise Mobility Management,Team Communication,Consumer Finance,Hardware as a Service (HaaS),Device Management,Data Collection & Survey",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
0015i00000LtMYZAA3,UserTesting,usertesting.com,Mark Whalen,Enterprise,38000,1,Custom / Self-Hosted,Webinar; In-person Conferences; Virtual Conferences,Flagship; Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,2,4,0,2,6,Red,"UX Research,Product,Marketing,Design,Customer Experience,Digital Experience,Executives,Human Resources",Hybrid,"Small business or Startup,Mid-Market,Global Enterprise,Automotive,Business services,Consumer products,Education,Energy,Fashion & Apparel,Financial services,Food & beverage,Gaming,Healthcare,Health & fitness,Manufacturing,Media & entertainment,Non-profit,Public sector,Pharmaceutical,Real estate,Retail & ecommerce,Security,Technology,Transportation,Travel & hospitality",3,3,9,0,0,0,0,2,0,0,0,1,7,3,0
0015i00000RqOcrAAF,CheckPoint,checkpoint.com,Mark Whalen,Strategic,165150,0,,Field Events; Third-Party Events; Webinar; In-person Conferences,Flagship; Field Events; Webinars; Third-Party Events,Webinar,48,30,10,17,1,1,19,Green,"Security,IT,Network,Security Operations,Operations,DevOps,Compliance",Sales-led,"SMBs,Mid-market,Enterprise,Aerospace,Education,Energy,Entertainment and Leisure,Financial Services,Government,Healthcare,Hospitality,Legal,Manufacturing,Media and Entertainment,Nonprofit,Pharmaceutical,Professional Services,Real Estate,Retail,Sports Teams and Clubs,Technology Solutions,Telecommunications,Transportation",12,35,16,1,0,3,21,4,4,18,5,11,14,21,1
0015i00000UgUCIAA3,Plaid INC.,plaid.com,Todd Fouts,Enterprise,45250,0,Unknown,Webinar; In-person Conferences; Hybrid Conferences; Virtual Conferences,Tier 2 and 3 Conferences; Webinars; Third-Party Events,Webinar; Third-Party Events,1,0,2,9,3,2,14,Yellow,"Engineering,Risk,Finance",Hybrid,"Developers and individual builders,Startups / Small teams,Growing businesses / Enterprises,Banks & credit unions,Lending,Wealth,Crypto,Mortgage,Property management,Gaming,Billing & recurring payments",2,3,9,1,0,4,0,3,0,0,0,2,8,3,1
0015i00000Y4zSOAAZ,Tricentis,tricentis.com,Mark Whalen,Enterprise,99500,1,Cvent,Field Events; Third-Party Events; Webinar; In-person Conferences; Hybrid Conferences; Virtual Conferences,Flagship; Field Events; Webinars; Third-Party Events,Webinar,96,12,4,209,7,50,266,Green,"Quality Engineering,Engineering,DevOps,IT/Operations",Sales-led,"Enterprise,Energy & Utilities,Financial Services,Telecommunications,Automotive,Insurance,Media",0,5,19,0,0,7,0,2,6,13,8,0,18,2,0
0015i00000asaGBAAY,Branch,branch.io,Brooks Marsi,Mid-Market,35000,1,,Field Events,Field Events; Webinars; Third-Party Events,Webinar; Third-Party Events,7,0,1,1,0,1,2,Red,"Marketing,Product,Engineering,Data,Growth",Hybrid,"SMBs,Mid-market,Enterprise,Health,Finance,Retail & e-commerce,Food & beverage,Media & entertainment,Travel",0,2,7,0,0,0,1,0,0,4,0,0,7,2,0
0015i000011yeTWAAY,SecurityScorecard,securityscorecard.com,Mark Whalen,Mid-Market,28700,1,Cvent,Field Events; In-person Conferences,Tier 2 and 3 Conferences; Field Events; Webinars; Third-Party Events,Webinar; Third-Party Events,86,0,0,12,0,0,12,Green,"Security,Risk,Third-Party Risk Management,Compliance / GRC,Vendor Management,Executive",Hybrid,"SMBs,Mid-market,Enterprise,Financial Services,Industrial,Information Technology,Healthcare,Retail,Critical Infrastructure,Legal,Hospitality & Gaming,Public Sector,Telecommunications",1,6,2,0,0,0,0,1,0,4,0,1,1,3,0
0015i000018rbWVAAY,T. Rowe Price,troweprice.com,Mark Whalen,Strategic,464490,1,,Webinar; In-person Conferences; Hybrid Conferences; Virtual Conferences,Flagship,,1,1,32,61,10,8,79,Green,"Investment staff,Trustees,Plan Sponsors,Financial Advisors / Intermediaries,Institutional Consultants,Recordkeepers,Plan Participants",Hybrid,"Individual investors,Financial Advisors / Intermediaries,Defined Contribution Plans,Institutional Investors,Insurance General Accounts,Taft-Hartley Plans,Public Pensions,Endowments & Foundations,Single Family Offices,Small businesses",14,8,12,0,0,2,0,9,0,0,0,11,12,8,0
001J300000MdWDHIA3,Black Duck,blackduck.com,Mark Whalen,Enterprise,31500,0,,In-person Conferences,Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,1,0,0,3,0,1,4,Red,"Developers,Application Security,Information Security,DevSecOps",Sales-led,"Aerospace,Defense,Automotive,Manufacturing,Financial Services,Government,Critical Infrastructure,Internet/Software Services",2,5,5,1,0,0,0,3,0,0,0,1,5,3,1
001fu00000FEkZ4AAL,TTEC Digital,ttecdigital.com,Todd Fouts,Enterprise,49500,0,,Webinar,Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,3,1,0,1,2,Red,"Marketing,Sales,Service,IT,Operations,Data,Security",Sales-led,"Financial services,Healthcare,Public sector",1,3,1,0,1,0,0,0,1,0,0,1,1,1,0
001fu00000R7txuAAB,Under Armour,underarmour.com,Mark Whalen,Strategic,125167,0,,Field Events; In-person Conferences,Field Events; Third-Party Events,Third-Party Events,5,0,0,21,0,0,21,Yellow,,Hybrid,"Individual consumers / Athletes,Sports teams,Retailers / Authorized dealers / Affiliates",9,16,13,0,0,0,1,2,0,2,0,8,13,16,0
0015i00000LtMUnAAN,CrowdStrike,crowdstrike.com,Mark Whalen,Strategic,359450,1,Custom / Self-Hosted,Field Events; Webinar; In-person Conferences; Hybrid Conferences; Virtual Conferences,Flagship; Tier 2 and 3 Conferences; Field Events; Webinars; Third-Party Events,Webinar; Third-Party Events,43,0,44,1078,3,43,1124,Green,"Security,IT,Security Operations (SOC),Engineering,Information Security/InfoSec,Operational/IT Support",Hybrid,"SMBs,Mid-market,Enterprise,Healthcare,Financial Services,Government,Education,Retail,Hospitality,Utilities/Energy,Technology/Telecom,Manufacturing",19,51,33,5,1,7,2,22,38,61,0,14,26,18,3
0015i00000LtMZnAAN,Collibra,collibra.com,Brooks Marsi,Enterprise,27600,1,Bizzabo,In-person Conferences,Flagship; Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,1,0,0,17,0,1,18,Green,"Data,Data Science,Engineering,IT,Product,Marketing,Finance,Operations",Sales-led,"Enterprise,Financial services,Insurance,Healthcare,Life sciences,Retail,Government",4,5,4,1,0,0,0,2,0,0,0,2,3,1,0
0015i00000LtMjJAAV,Postman,postman.com,Mark Whalen,Enterprise,68800,1,,Webinar; In-person Conferences; Virtual Conferences,Flagship; Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,109,19,1,7,27,Green,"Engineering,Product,Security,IT,Operations",Hybrid,"Individuals,Teams (SMBs),Mid-market,Enterprise,Healthcare,Financial Services,SaaS",1,3,0,0,0,1,6,3,4,0,0,1,0,3,0
0015i00000LulylAAB,BigCommerce,bigcommerce.com,Paul Singh,Enterprise,109650,1,Swoogo (events.bigcommerce.com runs on Swoogo platform),Webinar; In-person Conferences; Virtual Conferences,Flagship; Webinars; Third-Party Events,Webinar; Third-Party Events,1,0,4,35,0,9,44,Green,"Marketing,Developers,Technical,Sales,Finance,Customer Success,Operations",Hybrid,"Small Business,Mid-market,Enterprise,Fashion & Apparel,Health & Beauty,Food & Beverage,Automotive,Manufacturing,CBD,Home & Garden",0,0,4,0,0,0,0,1,7,0,0,0,4,0,0
0015i00000LuqJzAAJ,Iterable,iterable.com,Bhargav Prasad,Mid-Market,100000,1,Custom / Self-Hosted (WordPress + Marketo forms on dedicated subdomain),Field Events; Webinar; In-person Conferences; Virtual Conferences,Flagship; Field Events; Webinars; Third-Party Events,Webinar; Third-Party Events,160,0,37,19,1,2,22,Green,"Marketing,Product,Engineering,Data,Finance",Sales-led,"Enterprise,Retail & E-commerce,Fintech,Online Marketplaces,Consumer Apps & Services,Media and Entertainment,B2B Enterprise Software",2,3,3,1,0,7,0,3,7,10,0,0,3,0,0
0015i00000OrA1NAAV,Bandwidth,bandwidth.com,Mark Whalen,Enterprise,32200,1,,Webinar; Hybrid Conferences,Flagship; Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,84,0,2,0,2,Yellow,"Product,Engineering,IT,Operations,Contact Center,Security",Hybrid,"Global 2000 Enterprises,SaaS Product Builders,Voice AI Startups,Communications Providers,Finance,Healthcare,Ecommerce & Retail,Hospitality,Telecom,Conversational AI,Contact Centers,Unified Communications / UCaaS,Wholesale Telecom",3,6,3,0,0,0,1,0,1,0,0,1,3,5,0
0015i00000OrGMgAAN,Sumo Logic,sumologic.com,Brooks Marsi,Enterprise,12000,0,,In-person Conferences,Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,0,2,0,0,2,Red,"Security,SecOps,DevOps,DevSecOps,IT,Engineering,Operations",Hybrid,"SMBs,Enterprise,Education,Finance,Gaming,Manufacturing,Public sector,Retail,Tech/SaaS",1,2,5,1,0,0,0,0,0,0,0,0,5,1,0
0015i00000RpsG3AAJ,Postscript,postscript.io,Brooks Marsi,Mid-Market,30000,1,,Field Events; Webinar; Virtual Conferences,Field Events; Webinars; Third-Party Events,Webinar; Third-Party Events,17,0,3,0,0,18,18,Yellow,"Marketing,Customer Service,Engineering",Hybrid,"SMBs,Mid-market,Enterprise,Ecommerce,Shopify,DTC,Merchants",2,1,2,1,0,0,0,3,4,4,0,1,2,0,0
0015i00000RpsMxAAJ,Figma,figma.com,Brooks Marsi,Enterprise,120000,1,Custom Built,Field Events; Webinar; In-person Conferences; Hybrid Conferences; Virtual Conferences,Flagship; Field Events; Webinars,Webinar,86,0,138,54,12,5,71,Green,"Design,Product,Engineering,IT,Security,Administration,Marketing",Hybrid,"Individuals,SMBs,Mid-market,Enterprise,Education,Agencies,Software,Retail,Financial Services,Telecommunications,Automotive,Media,Consumer Goods",12,9,14,0,4,5,1,2,4,3,0,11,14,8,0
0015i00000mmGAcAAM,Posit,posit.co,Bhargav Prasad,Mid-Market,51950,1,RainFocus,,Flagship,Conferences,1,0,1,0,1,0,1,Red,"Data Science,IT,Business,Security",Hybrid,"Individuals,SMBs,Teams,Enterprise,Academic,Financial Services,Insurance,Pharma / Life Sciences,Public Sector,Technology,Manufacturing,Sports,Real Estate,Banking,Retail",2,3,1,0,0,0,0,0,0,0,0,0,1,1,0
0015i00000r9YzAAAU,Varicent,varicent.com,Brooks Marsi,Mid-Market,47800,1,Bizzabo,Webinar; In-person Conferences; Virtual Conferences,Flagship; Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,12,7,0,3,10,Green,"Sales,Revenue Operations,Finance,Sales Operations",Sales-led,"Growth-market,Mid-market,Enterprise,Insurance,Banking,Financial Services,Logistics,Manufacturing,Healthcare,Technology,Retail,Telecommunications",1,0,3,0,0,1,0,1,1,0,0,0,3,0,0
0015i00000wK5mlAAC,Akima Corporation,akima.com,Mark Whalen,Enterprise,60500,1,,In-person Conferences; Hybrid Conferences; Virtual Conferences,Flagship; Third-Party Events,Third-Party Events,0,0,0,13,3,11,27,Red,"IT,Security,Engineering,Logistics,Operations,Facilities,Construction,Mission Support/Training",Sales-led,"Federal government,Defense,Aerospace,Logistics",2,1,2,0,0,0,0,1,0,0,0,2,2,1,0
001J3000008DkcaIAC,Fullscript,fullscript.com,Brooks Marsi,Mid-Market,129550,1,Swoogo,Webinar; Hybrid Conferences; Virtual Conferences,Flagship; Webinars,Webinar,0,0,287,1,3,27,31,Green,"Clinical,Health IT,Labs/Diagnostics",Hybrid,"Healthcare providers,Patients,Small practices,Healthcare networks",1,0,4,0,0,4,0,5,6,0,0,1,4,0,0
001J300000McWpIIAV,Kinective,kinective.io,Bhargav Prasad,Mid-Market,41063,1,Splash,Third-Party Events; Webinar; Virtual Conferences,Flagship; Third-Party Events,,1,25,2,1,0,2,3,Green,"Operations,Branch / Retail Banking,Data,Risk & Compliance,Finance / Treasury,IT / Core Integrations,Fraud",Sales-led,"Banks,Credit Unions,Fintechs,Community Financial Institutions,Enterprise",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
001fu00000ADrAmAAL,RTB House,rtbhouse.com,Paul Singh,Enterprise,35500,1,,Field Events; Third-Party Events; In-person Conferences,Tier 2 and 3 Conferences; Webinars; Third-Party Events,Webinar,12,7,0,4,0,0,4,Green,"Marketing,E‑commerce",Sales-led,"Fashion,Automotive,Home and Garden,Electronic,E‑commerce",0,2,5,0,0,0,0,1,0,1,1,0,5,2,0
001fu00000Ct3w2AAB,"Artivion, Inc.",https://artivion.com/,Bhargav Prasad,Enterprise,16100,1,,No Events data found,Field Events; Webinars; Third-Party Events,Field Events; Webinar; Third-Party Events,0,0,,0,0,0,0,Red,"Cardiac Surgery,Vascular Surgery",Sales-led,"Healthcare,Hospitals,Cardiac & Vascular,Aortic disease treatment",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
001fu00000HXPBXAA5,"Gordon Rees Scully Mansukhani, LLP",grsm.com,Brooks Marsi,Enterprise,38000,1,,In-person Conferences,Flagship; Webinars; Third-Party Events,Webinar; Third-Party Events,0,0,0,10,0,0,10,Yellow,"Human Resources,Legal,Risk/Compliance,IT/Security,Finance",Sales-led,"Enterprise,National (multi-state),Healthcare,Insurance,Retail & Hospitality,Banking & Finance,Energy & Natural Resources,Pharmaceutical & Medical Device,Technology,Construction,Transportation",2,0,0,0,0,0,0,4,0,0,0,0,0,0,0
